Cluster,Count,% of Total,Avg Hours,Avg Projects,Avg Apps,Avg Acceptances,Acceptance Rate,Python %,SQL %,Excel %,Tableau %,Power BI %,ML %,Portfolio %,Mentor %,Kaggle %,Paid Training %,Events,Cairo %,Interview Readiness,Market Understanding,Persona
0,36,16.0,6.8,5.2,14.5,0.53,36.1,77.8,88.9,94.4,58.3,94.4,66.7,86.1,75.0,100.0,50.0,1.3,50.0,4.0,3.5,The Seekers (Average Effort)
1,100,44.4,5.7,4.9,14.4,0.6,39.0,80.0,94.0,99.0,45.0,95.0,65.0,77.0,70.0,0.0,56.0,0.7,51.0,3.8,3.5,The Seekers (Average Effort)
2,20,8.9,3.6,0.4,4.0,0.5,35.0,30.0,35.0,0.0,10.0,10.0,35.0,60.0,55.0,0.0,40.0,0.6,55.0,2.4,3.0,The Seekers (Average Effort)
3,69,30.7,4.1,1.7,5.5,0.51,34.8,42.0,36.2,100.0,11.6,44.9,31.9,50.7,59.4,2.9,44.9,1.1,34.8,3.0,3.0,The Seekers (Average Effort)
